seed,mae_train,mae_val,mae_test,rmse_test,cost_saving_rate_pct,net_saving_won,cycle_count
42,2.172,1.765,1.29,2.051,0.87,398281.0,186.2
1,1.842,1.694,1.258,2.06,0.88,404175.0,185.28
7,1.722,1.604,1.157,1.971,0.88,405181.0,185.83
13,1.753,1.564,1.154,1.969,0.88,403162.0,186.28
2024,1.769,1.601,1.154,2.012,0.89,408899.0,184.31
