지표,Rule-Based,LSTM,GRU
기준요금(원),35371060.18955714,35371060.18955714,35371060.18955714
BESS요금(원),32376623.35193918,34580541.43616444,34573830.986407146
절감액(원),2994436.8376179636,790518.7533927038,797229.2031499967
요금절감률(%),8.465781974219798,2.2349308987523493,2.253902480947881
피크요금절감률(%),26.267305619294774,24.27371409243192,24.373981961476414
총부하(kWh),419742.8786545355,419742.8786545355,419742.8786545355
총태양광(kWh),71808.7278,71808.7278,71808.7278
BESS방전(kWh),28268.032373243732,42015.149371239415,42132.48533600407
자립률(%),23.576380176544088,26.851508284032498,26.87946253191415
BESS활용률(%),24.11418081490078,42.33584244182042,42.45403530484197
라운드트립효율(%),127.3511504093205,90.193810196626,90.19396658406188
제어성공률(%),17.369489905626565,77.54151236411421,77.58929638036078
배터리사이클,252.324759501918,442.9916713505984,444.2284119210402
충전횟수,1236.0,3335.0,3361.0
방전횟수,1723.0,2849.0,2872.0
평균SOC(%),44.677335818942574,55.1558129481034,55.1186431892342
MAE(kW),,1.6036455164012757,1.6909216129590285
RMSE(kW),,2.8603786852581963,2.9578362529925952
MAPE(%),,12.514641575070783,13.160494858850976
